Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2003-10-12,14.4381,15.7087,14.3757,15.5892,11538024.85763
2003-10-19,15.7087,16.3124,15.2245,15.5277,8994702.5550763
2003-10-26,15.4635,15.8291,14.8599,15.1068,5887080.3783684
2003-11-02,15.1068,15.8914,14.8599,15.5277,6313038.8362609
2003-11-09,15.5892,15.9477,15.2245,15.6463,5228886.0561948
2003-11-16,15.6463,16.011,15.5277,15.7087,3204866.9902152
2003-11-23,15.5277,15.5277,13.8353,14.1991,9622262.2004236
2003-11-30,14.3203,14.6208,14.0189,14.0743,6753064.5046832
2003-12-07,14.2571,15.163,14.1991,14.3203,5372827.7267255
2003-12-14,14.1991,15.1068,14.0743,15.0435,9217743.1227729
2003-12-21,15.1068,15.3441,14.8599,15.0435,5365312.1650122
2003-12-28,15.0435,15.2245,14.924,15.2245,1945560.8806921
2004-01-04,15.163,15.7087,15.0435,15.7087,1961776.6951762
2004-01-11,15.7728,16.4952,15.5892,15.6463,8697529.4607947
2004-01-18,15.4635,16.1928,15.4082,15.4635,5262884.7548903
2004-01-25,15.5277,16.1305,15.4635,16.011,4322891.0094202
2004-02-01,15.9477,16.1928,15.4082,15.9477,8318341.8319896
2004-02-08,16.0742,16.431,15.7087,16.1305,4857186.6763409
2004-02-15,16.3124,17.1595,16.1928,16.8598,6513159.4444018
2004-02-22,16.677,17.1595,16.677,17.1595,4341525.1413847
2004-02-29,17.1595,17.4011,16.4952,17.2174,6662423.689453
2004-03-07,17.5188,17.8844,17.4011,17.6393,6713965.1476595
2004-03-14,17.7025,17.8844,16.7333,17.4011,5315267.2185642
2004-03-21,17.3379,17.4011,16.677,16.7956,5883318.0453847
2004-03-28,16.7956,17.1595,16.6146,16.9784,4892217.5698387
2004-04-04,17.0365,17.5821,16.916,17.4011,4151035.6959906
2004-04-11,17.4626,17.8211,17.2798,17.7649,3834213.3454187
2004-04-18,17.8844,18.6076,17.8844,18.6076,5099193.6812747
2004-04-25,18.7253,18.9722,17.7025,17.9477,5912191.0490535
2004-05-02,17.7649,18.0039,17.0365,17.4011,4137687.7215304
2004-05-09,17.4011,18.1234,17.2798,17.6393,5491508.5063794
2004-05-16,17.2174,17.5188,16.2491,16.677,6991889.5728286
2004-05-23,16.3766,17.2174,16.2491,17.0365,5087976.1022608
2004-05-30,17.0365,17.2798,16.3124,17.1595,4718931.7504925
2004-06-06,17.2174,17.4626,16.6146,16.7956,3214195.436515
2004-06-13,16.677,17.5188,16.677,17.0997,5021180.4664035
2004-06-20,16.8598,17.2798,16.8598,17.0997,4966010.9629605
2004-06-27,17.0997,17.5821,17.0365,17.5821,3017048.5053512
2004-07-04,17.5188,18.0039,17.4626,17.5821,4821908.8299522
2004-07-11,17.5821,17.8844,17.4011,17.7025,5273675.571996
2004-07-18,17.7649,18.5505,17.6393,18.5505,5852074.5215693
2004-07-25,18.3686,18.67,18.1866,18.3044,4415342.4331734
2004-08-01,18.3686,19.0293,17.8211,18.0039,10934099.855781
2004-08-08,18.0039,18.6076,17.8844,18.2481,7503674.9716256
2004-08-15,18.0039,18.3686,17.8211,17.9477,5871699.8791929
2004-08-22,17.9477,18.908,17.8844,18.7253,4671200.4226033
2004-08-29,18.6076,19.6374,18.5505,19.5118,5167204.7350468
2004-09-05,19.3932,20.0601,19.0293,19.4564,7787336.2148741
2004-09-12,19.4564,20.5987,19.4564,20.2419,5394171.5122999
2004-09-19,20.2419,21.0838,20.1225,20.5425,4122421.0255304
2004-09-26,20.5425,20.5987,19.6946,19.7578,3586497.9731993
2004-10-03,19.6374,20.9633,19.5118,20.662,5259697.1279432
2004-10-10,20.901,22.1716,20.901,21.7507,8170443.2250451
2004-10-17,21.7507,21.7507,20.5987,21.3852,7242509.202088
2004-10-24,21.4485,22.6541,21.0275,22.6541,6992584.9102312
2004-10-31,22.4739,22.9,21.7507,22.1145,9327538.1504799
2004-11-07,22.1716,22.4159,21.6303,21.7507,7556492.16343
2004-11-14,21.8131,23.2595,20.901,23.0758,12383984.177175
2004-11-21,23.0758,23.321,22.1145,22.5354,28380715.029989
2004-11-28,22.4159,22.5986,21.9326,22.1716,3499539.8287299
2004-12-05,22.234,24.1637,22.1716,23.9255,15722141.998721
2004-12-12,23.7427,23.8623,22.6541,22.6541,7288454.9581527
2004-12-19,22.7182,23.5038,22.4159,23.3833,10766784.151024
2004-12-26,23.321,23.987,21.9906,22.3544,5897527.5098839
2005-01-02,22.4739,23.0758,22.3544,22.8385,4648964.4201327
2005-01-09,22.9,23.1391,20.4239,20.8447,10801609.060774
2005-01-16,21.0275,22.1145,20.3606,22.053,14194220.563789
2005-01-23,22.053,22.1145,21.328,21.5679,9225135.7770566
2005-01-30,21.5679,23.2595,21.5108,22.9,9626173.6155672
2005-02-06,22.7744,23.987,22.5986,23.987,9080766.2065858
2005-02-13,24.0451,25.5599,24.0451,25.4958,11573521.206115
2005-02-20,25.4343,28.515,25.2506,27.0054,12960291.424381
2005-02-27,26.9491,29.4824,26.8859,29.2435,13953930.848774
2005-03-06,29.4824,29.4824,27.1249,27.8542,10201275.687145
2005-03-13,28.0932,30.2118,27.6082,27.791,13181069.584948
2005-03-20,27.6082,28.0361,25.798,27.0678,10865380.946257
2005-03-27,27.0054,28.7593,26.2831,27.8542,10940593.464977
2005-04-03,27.8542,28.5765,27.4896,28.3366,7001020.001603
2005-04-10,28.3366,29.9658,28.3366,29.2988,8747895.3321978
2005-04-17,28.9974,29.363,27.6082,27.9105,5985022.8053419
2005-04-24,27.3701,28.696,27.1249,28.6398,5598279.7837121
2005-05-01,28.8164,29.0599,27.3701,27.6082,4462797.2193459
2005-05-08,27.791,28.0932,25.8613,26.5212,6231963.1779357
2005-05-15,26.5212,26.5845,25.0758,25.3772,10649918.53202
2005-05-22,25.798,27.4271,25.2506,27.0678,9043379.5873542
2005-05-29,27.0054,27.8542,26.6416,27.3077,3371652.372174
2005-06-05,27.4896,28.3366,27.3077,27.7339,9139753.8065686
2005-06-12,27.791,28.8779,27.6082,28.696,7934878.6178792
2005-06-19,28.696,29.7848,28.2743,29.7277,5316339.2444779
2005-06-26,29.6011,30.8155,29.5449,29.9658,6197382.9450131
2005-07-03,29.9658,30.9904,29.6011,30.8709,8087182.5457493
2005-07-10,30.8155,32.3858,30.6327,32.0782,7722277.2154757
2005-07-17,32.3233,32.8075,31.2373,31.9024,6917932.303134
2005-07-24,31.9024,32.3858,30.7513,31.1731,6307673.0165338
2005-07-31,31.2988,34.3233,31.2988,34.0087,7066176.8717323
2005-08-07,33.8198,35.6423,33.8198,35.2029,6587719.8709268
2005-08-14,35.2644,35.8311,33.5061,33.5061,5522890.8700691
2005-08-21,33.5061,34.6985,32.8761,33.1283,5013717.254151
2005-08-28,33.2531,34.0087,33.0035,33.3796,7038906.2167753
2005-09-04,33.63,39.9181,33.4419,38.2819,16138871.019076
2005-09-11,38.1563,38.2204,35.7679,36.7723,8471429.8637393
2005-09-18,36.7723,40.2932,36.586,39.288,11437830.265812
2005-09-25,39.6026,41.5515,39.1,40.7968,11648396.867437
2005-10-02,40.484,42.5568,39.4769,41.9927,10289473.148196
2005-10-09,41.9927,43.9399,39.0375,39.4769,12403808.690355
2005-10-16,39.7915,41.1113,36.5235,37.7169,9289069.2630488
2005-10-23,38.2819,39.4145,37.4656,37.4656,13858943.89027
2005-10-30,37.4032,38.7221,35.0149,35.8311,8205090.6018412
2005-11-06,36.397,38.8487,36.397,38.6597,6789747.8202899
2005-11-13,38.5964,38.5964,36.9006,37.4656,5354445.099779
2005-11-20,37.7784,38.5341,35.391,37.4032,9387573.8777094
2005-11-27,37.4656,37.7169,35.9559,37.4032,6708173.7040558
2005-12-04,37.7784,38.9734,37.2143,38.9734,8545065.0704471
2005-12-11,39.0375,40.0429,38.1563,38.7845,5033788.7202227
2005-12-18,38.6597,39.5393,38.3451,38.9128,7610589.6409594
2005-12-25,38.9734,38.9734,37.7784,38.8487,7637842.0874083
2006-01-01,38.8487,39.5393,38.7221,39.4145,3617435.3664725
2006-01-08,39.1632,42.8714,39.0375,42.8714,9071215.8440937
2006-01-15,43.4364,44.1288,40.484,40.5455,13638810.993708
2006-01-22,40.2326,41.6763,39.288,41.1113,9618272.2610888
2006-01-29,40.484,42.1798,40.0429,40.4207,9234829.5315499
2006-02-05,40.7343,41.613,38.0938,38.7221,6950957.9846786
2006-02-12,38.9128,39.9181,38.2204,38.3451,6019004.4335611
2006-02-19,37.9075,39.4769,37.2766,39.4145,6291359.3313187
2006-02-26,39.6658,41.0489,38.9128,40.2326,7282786.4219786
2006-03-05,40.484,40.6087,36.7723,37.7169,12677506.465585
2006-03-12,37.7784,37.7784,33.9445,34.8884,13253315.254882
2006-03-19,34.9498,38.4093,34.8259,37.4656,12687822.723448
2006-03-26,37.4656,37.9075,35.4525,36.7108,5019629.3291208
2006-04-02,36.4585,37.0895,35.2029,37.0263,5015550.6233091
2006-04-09,36.4585,41.0489,36.4585,40.5455,10459701.076215
2006-04-16,40.484,41.4892,39.9813,40.6087,8607160.6351541
2006-04-23,41.0489,42.4311,40.1052,41.1746,11281426.009527
2006-04-30,41.1113,42.3055,38.7221,40.2326,7572991.3478212
2006-05-07,40.2326,40.8591,39.0375,40.5455,5660152.294195
2006-05-14,40.5455,40.7968,37.5912,38.0323,7856386.2916389
2006-05-21,37.7169,38.0938,34.5746,34.8884,11234705.253837
2006-05-28,34.7617,34.7617,31.4315,33.63,19107794.437551
2006-06-04,34.8259,35.3294,33.3163,34.9498,10226774.426659
2006-06-11,35.2029,35.2029,30.9904,31.2425,10608276.812054
2006-06-18,31.0527,31.305,27.4693,28.0986,17160782.566371
2006-06-25,28.6644,30.9904,28.1609,29.9842,14163135.226387
2006-07-02,29.7347,34.1968,29.7347,33.3163,12174394.006796
2006-07-09,33.63,37.0263,33.065,36.5235,9005352.2562442
2006-07-16,35.2029,37.2143,33.2531,34.9498,9846350.895367
2006-07-23,34.9498,35.391,33.5061,34.8884,6908546.9552464
